id,title,orchestra,singer,style,year,decade,duration_seconds,file_path,tags,notes,bpm,key,energy,danceability,album,filename
00859d5c-fdc2-5a11-a19a-31ce38fa0ff7,Como Se Pianta La Vida,Enrique Rodriguez,Armando Moreno,tango,1963.0,1960s,142.41,data/raw/vol-18 la fiesta de buenos aires/23 como se pianta la vida.mp3,,,139.5583953857422,E,0.0115958703681826,1.0179363489151,vol-18 la fiesta de buenos aires,23 como se pianta la vida.mp3
1e41ae81-60d7-5d3a-aa73-51956bc3468d,Llorar Por Una Mujer,Enrique Rodriguez,Armando Moreno,tango,1941.0,1940s,168.19,data/raw/vol-18 la fiesta de buenos aires/22 llorar por una mujer.mp3,,,130.3660430908203,C,0.0106493011116981,1.1755023002624512,vol-18 la fiesta de buenos aires,22 llorar por una mujer.mp3
90ed2fcc-c54a-504a-8539-5262cd9794e5,Danza Maligna,Enrique Rodriguez,Armando Moreno,tango,,,148.75,data/raw/vol-24 la fiesta de buenos aires/06 danza maligna.mp3,,,133.1699981689453,G,0.0113264853134751,1.02163565158844,vol-24 la fiesta de buenos aires,06 danza maligna.mp3
9c33b83a-5ff9-5f2e-81ab-479a80e54fc3,En La Buena Y En La Mala,Enrique Rodriguez,Armando Moreno,tango,,,144.99,data/raw/vol-18 la fiesta de buenos aires/24 en la buena y en la mala.mp3,,,137.03314208984375,G,0.0107395239174366,1.0716383457183838,vol-18 la fiesta de buenos aires,24 en la buena y en la mala.mp3
2c85f275-46af-544b-aa9f-e006e32589c2,El Encopao,Enrique Rodriguez,Armando Moreno,tango,1942.0,1940s,150.97,data/raw/vol-24 la fiesta de buenos aires/09 el encopao.mp3,,,129.62557983398438,C#,0.0050816666334867,1.0863550901412964,vol-24 la fiesta de buenos aires,09 el encopao.mp3
f6f35577-c2f8-5462-aae7-bd3f029a6785,Colombina,Francisco Canaro,Instrumental,tango,1951.0,1950s,165.19,data/raw/vol-18 la fiesta de buenos aires/06 colombina.mp3,,,120.01922607421876,F,0.0050875665619969,1.207458257675171,vol-18 la fiesta de buenos aires,06 colombina.mp3
f193dfa3-c2f8-5784-8939-a03cb925fe29,Sin Rumbo,Francisco Canaro,Instrumental,tango,1938.0,1930s,197.98,data/raw/vol-18 la fiesta de buenos aires/09 sin rumbo.mp3,,,119.92829132080078,F,0.0099505810067057,1.210416555404663,vol-18 la fiesta de buenos aires,09 sin rumbo.mp3
42c5ce2f-72c3-53a7-b782-2b4d567ba78f,Arrabalera,Francisco Canaro,Instrumental,tango,1955.0,1950s,162.38,data/raw/vol-01 la fiesta de buenos aires/27 arrabalera.mp3,,,100.81014251708984,G,0.0064395344816148,1.1327959299087524,vol-01 la fiesta de buenos aires,27 arrabalera.mp3
63c08012-485f-5545-b7ec-efbc779ba64d,El Torito,Francisco Canaro,Instrumental,tango,,,140.09,data/raw/vol-01 la fiesta de buenos aires/28 el torito.mp3,,,97.50296020507812,F,0.0062386863864958,1.122647762298584,vol-01 la fiesta de buenos aires,28 el torito.mp3
ea67f2bb-facf-598d-9f31-4d6fcad330ff,El Nene Del Abasto,Juan D'Arienzo,Alberto Echagüe,tango,,,176.06,data/raw/vol-06 la fiesta de buenos aires/03 el nene del abasto.mp3,,,132.64846801757812,F,0.0096301669254899,1.036881685256958,vol-06 la fiesta de buenos aires,03 el nene del abasto.mp3
e9693ee1-2fec-54e4-b997-0daec3915199,A Suerte Y Verdad,Juan D'Arienzo,Alberto Echagüe,tango,1944.0,1940s,154.22,data/raw/vol-14 la fiesta de buenos aires/02 a suerte y verdad.mp3,,,123.53594207763672,D,0.0102264638990163,1.067731261253357,vol-14 la fiesta de buenos aires,02 a suerte y verdad.mp3
b45e5b0f-6bb0-5098-8121-7b05c11a8c7e,Seamos Amigos,Juan D'Arienzo,Alberto Echagüe,tango,1944.0,1940s,159.72,data/raw/vol-14 la fiesta de buenos aires/04 seamos amigos.mp3,,,123.7410659790039,A,0.0080765075981616,1.088519811630249,vol-14 la fiesta de buenos aires,04 seamos amigos.mp3
